"transcript","cluster","GO"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0005777"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0005778"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0005829"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0005886"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0006906"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0006909"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0008021"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0014059"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0017158"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0019905"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0030276"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0030424"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0030670"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0030672"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0031045"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0032009"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0036465"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0042734"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0045202"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0045956"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0046850"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0048791"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0050764"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0050796"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0070062"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0070092"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0071277"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0090119"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0090385"
"TRINITY_DN100624_c0_g1_i1",1,"GO:0098686"
"TRINITY_DN100624_c0_g1_i1",1,"GO:1900242"
"TRINITY_DN100624_c0_g1_i1",1,"GO:1990926"
"TRINITY_DN100624_c0_g1_i1",1,"GO:1990927"
"TRINITY_DN100637_c0_g1_i1",1,"GO:0005096"
"TRINITY_DN100637_c0_g1_i1",1,"GO:0005829"
"TRINITY_DN100637_c0_g1_i1",1,"GO:0005886"
"TRINITY_DN100637_c0_g1_i1",1,"GO:0032580"
"TRINITY_DN100637_c0_g1_i1",1,"GO:0046872"
"TRINITY_DN100652_c0_g1_i1",1,"GO:0005634"
"TRINITY_DN100652_c0_g1_i1",1,"GO:0005737"
"TRINITY_DN100652_c0_g1_i1",1,"GO:0016180"
"TRINITY_DN100652_c0_g1_i1",1,"GO:0031965"
"TRINITY_DN100652_c0_g1_i1",1,"GO:0032039"
"TRINITY_DN100652_c0_g1_i1",1,"GO:0034472"
"TRINITY_DN10065_c0_g1_i2",1,"GO:0003677"
"TRINITY_DN10065_c0_g1_i2",1,"GO:0003755"
"TRINITY_DN10065_c0_g1_i2",1,"GO:0005634"
"TRINITY_DN10067_c0_g2_i1",1,"GO:0001540"
"TRINITY_DN10067_c0_g2_i1",1,"GO:0005737"
"TRINITY_DN10067_c0_g2_i1",1,"GO:0005829"
"TRINITY_DN10067_c0_g2_i1",1,"GO:0006457"
"TRINITY_DN10067_c0_g2_i1",1,"GO:0016272"
"TRINITY_DN10067_c0_g2_i1",1,"GO:0044183"
"TRINITY_DN10067_c0_g2_i1",1,"GO:0051082"
"TRINITY_DN10067_c0_g2_i1",1,"GO:1905907"
"TRINITY_DN100758_c0_g1_i2",1,"GO:0000145"
"TRINITY_DN100758_c0_g1_i2",1,"GO:0005770"
"TRINITY_DN100758_c0_g1_i2",1,"GO:0006887"
"TRINITY_DN100758_c0_g1_i2",1,"GO:0006893"
"TRINITY_DN100758_c0_g1_i2",1,"GO:0007032"
"TRINITY_DN100758_c0_g1_i2",1,"GO:0008104"
"TRINITY_DN100758_c0_g1_i2",1,"GO:0015031"
"TRINITY_DN100758_c0_g1_i2",1,"GO:0022617"
"TRINITY_DN100758_c0_g1_i2",1,"GO:0030426"
"TRINITY_DN100758_c0_g1_i2",1,"GO:0031252"
"TRINITY_DN100758_c0_g1_i2",1,"GO:0031267"
"TRINITY_DN100758_c0_g1_i2",1,"GO:0035091"
"TRINITY_DN100758_c0_g1_i2",1,"GO:0048471"
"TRINITY_DN10076_c0_g1_i1",1,"GO:0000149"
"TRINITY_DN10076_c0_g1_i1",1,"GO:0001786"
"TRINITY_DN10076_c0_g1_i1",1,"GO:0005509"
"TRINITY_DN10076_c0_g1_i1",1,"GO:0005544"
"TRINITY_DN10076_c0_g1_i1",1,"GO:0005546"
"TRINITY_DN10076_c0_g1_i1",1,"GO:0005886"
"TRINITY_DN10076_c0_g1_i1",1,"GO:0014059"
"TRINITY_DN10076_c0_g1_i1",1,"GO:0017156"
"TRINITY_DN10076_c0_g1_i1",1,"GO:0017158"
"TRINITY_DN10076_c0_g1_i1",1,"GO:0030276"
"TRINITY_DN10076_c0_g1_i1",1,"GO:0030669"
"TRINITY_DN10076_c0_g1_i1",1,"GO:0030672"
"TRINITY_DN10076_c0_g1_i1",1,"GO:0031045"
"TRINITY_DN10076_c0_g1_i1",1,"GO:0042802"
"TRINITY_DN10076_c0_g1_i1",1,"GO:0070382"
"TRINITY_DN10076_c0_g1_i1",1,"GO:0071277"
"TRINITY_DN10076_c0_g1_i1",1,"GO:0098686"
"TRINITY_DN10076_c0_g1_i1",1,"GO:0099502"
"TRINITY_DN1007_c0_g1_i10",1,"GO:0005765"
"TRINITY_DN1007_c0_g1_i10",1,"GO:0005770"
"TRINITY_DN1007_c0_g1_i10",1,"GO:0005794"
